Date;Price
04.10.2018;6545.28566773816
05.10.2018;6585.14957977791
06.10.2018;6550.47831589714
07.10.2018;6564.56826008182
08.10.2018;6604.68527410871
09.10.2018;6590.42862215079
10.10.2018;6529.10243600234
11.10.2018;6159.25164260666
12.10.2018;6191.67722326125
13.10.2018;6197.68569637639
14.10.2018;6182.87934424313
15.10.2018;6442.71541408533
16.10.2018;6461.93715926359
17.10.2018;6442.73070017534
18.10.2018;6396.47981209819
19.10.2018;6383.07784015196
20.10.2018;6408.25274634717
21.10.2018;6415.34050292227
22.10.2018;6408.03363559322
23.10.2018;6395.98766686149
24.10.2018;6413.80364114553
25.10.2018;6402.3248591467
26.10.2018;6404.10855230859
27.10.2018;6409.40532758621
28.10.2018;6406.63325306838
29.10.2018;6263.0417346581
30.10.2018;6272.16772822911
